,Feature,Score,Model_name,rmse_val,r2_score,mse,mae,f1,precision,recall
0,budget_new,"[0.001925721320453544, 0.0038134492074047843]",Simple_Linear,0.2654557481584805,0.0038134492074047843,0.07046675423037861,0.13797442903228502,na,na,na
1,lease_span_avg_week,"[0.010465134454557101, 0.015019078941020614]",Simple_Linear,0.26395853302096584,0.015019078941020614,0.06967410715458032,0.13633661491918647,na,na,na
2,Agent_id_encoded,"[0.0007160696718152559, -1.7145324924916494e-05]",Simple_Linear,0.26596563142062807,-1.7145324924916494e-05,0.07073771709697338,0.13830976130965808,na,na,na
3,lost_reason_encoded,"[0.40353047597778713, 0.41667520698371463]",Simple_Linear,0.20313137799838626,0.41667520698371463,0.041262356727523285,0.13274244461878662,na,na,na
4,source_encoded,"[0.001320461103237025, 0.0015718306123276848]",Simple_Linear,0.26575424454514485,0.0015718306123276848,0.07062531849376066,0.13833237573750565,na,na,na
5,source_city_encoded,"[4.479857665329323e-05, 9.514095727403138e-05]",Simple_Linear,0.2659506991114898,9.514095727403138e-05,0.07072977435789016,0.1384160312497016,na,na,na
6,source_country_encoded,"[0.0016500185303758297, 0.0007092025128553336]",Simple_Linear,0.2658690237504651,0.0007092025128553336,0.07068633779002538,0.138216028461748,na,na,na
7,utm_source_encoded,"[4.633342586268796e-06, -0.00018931905736763177]",Simple_Linear,0.2659885261903943,-0.00018931905736763177,0.07074989606493808,0.13847760805618164,na,na,na
8,utm_medium_encoded,"[0.0018746669142841732, 0.000343827167472055]",Simple_Linear,0.2659176247726238,0.000343827167472055,0.07071218316471396,0.13819320888099082,na,na,na
9,des_city_encoded,"[0.00023326293621683813, -7.071305983541443e-05]",Simple_Linear,0.2659727547913207,-7.071305983541443e-05,0.07074150629128402,0.13842185514215286,na,na,na
10,des_country_encoded,"[0.0011579915023673948, 0.0013276368908468061]",Simple_Linear,0.26578674139992275,0.0013276368908468061,0.07064259190398942,0.13811185800329384,na,na,na
11,room_type_encoded,"[0.00022805743993492555, -0.0004589070631508818]",Simple_Linear,0.2660243706468779,-0.0004589070631508818,0.07076896577806747,0.13853404464490043,na,na,na
12,budget_new,"[0.41183047535892703, 0.423229927248885]",Multiple Regression,0.20198687761664838,0.423229927248885,0.040798698729322895,0.13087382104219855,na,na,na
13,lease_span_avg_week,"[0.4115803491154444, 0.4233042214510252]",Multiple Regression,0.20197386815420948,0.4233042214510252,0.040793443417173995,0.1309038178566167,na,na,na
14,Agent_id_encoded,"[0.4115803491154444, 0.4233042214510252]",Multiple Regression,0.20197386815420948,0.4233042214510252,0.040793443417173995,0.1309038178566167,na,na,na
15,lost_reason_encoded,"[0.019509994410663256, 0.0216739993485634]",Multiple Regression,0.26306531764673674,0.0216739993485634,0.06920336134857849,0.1362238724016749,na,na,na
16,source_encoded,"[0.41079758903136876, 0.42251716250973614]",Multiple Regression,0.20211164542241541,0.42251716250973614,0.040849117215356175,0.13056843404924992,na,na,na
17,source_city_encoded,"[0.41079758903136876, 0.42251716250973614]",Multiple Regression,0.20211164542241541,0.42251716250973614,0.040849117215356175,0.13056843404924992,na,na,na
18,source_country_encoded,"[0.41079758903136876, 0.42251716250973614]",Multiple Regression,0.20211164542241541,0.42251716250973614,0.040849117215356175,0.13056843404924992,na,na,na
19,utm_source_encoded,"[0.41079758903136876, 0.42251716250973614]",Multiple Regression,0.20211164542241541,0.42251716250973614,0.040849117215356175,0.13056843404924992,na,na,na
20,utm_medium_encoded,"[0.41079758903136876, 0.42251716250973614]",Multiple Regression,0.20211164542241541,0.42251716250973614,0.040849117215356175,0.13056843404924992,na,na,na
21,des_city_encoded,"[0.41079758903136876, 0.42251716250973614]",Multiple Regression,0.20211164542241541,0.42251716250973614,0.040849117215356175,0.13056843404924992,na,na,na
22,des_country_encoded,"[0.41079758903136876, 0.42251716250973614]",Multiple Regression,0.20211164542241541,0.42251716250973614,0.040849117215356175,0.13056843404924992,na,na,na
23,room_type_encoded,"[0.41079758903136876, 0.42251716250973614]",Multiple Regression,0.20211164542241541,0.42251716250973614,0.040849117215356175,0.13056843404924992,na,na,na
24,budget_new,"[0.39353047597778756, 0.40266128924202804]",Lasso Regression,0.7898491595508446,0.40266128924202804,0.6238616948431756,0.48308954923913705,na,na,na
25,lease_span_avg_week,"[0.39353047597778756, 0.40266128924202804]",Lasso Regression,0.7898491595508446,0.40266128924202804,0.6238616948431756,0.48308954923913705,na,na,na
26,Agent_id_encoded,"[0.39353047597778756, 0.40266128924202804]",Lasso Regression,0.7898491595508446,0.40266128924202804,0.6238616948431756,0.48308954923913705,na,na,na
27,lost_reason_encoded,"[0.39353047597778756, 0.40266128924202804]",Lasso Regression,0.7898491595508446,0.40266128924202804,0.6238616948431756,0.48308954923913705,na,na,na
28,source_encoded,"[0.39353047597778756, 0.40266128924202804]",Lasso Regression,0.7898491595508446,0.40266128924202804,0.6238616948431756,0.48308954923913705,na,na,na
29,source_city_encoded,"[0.39353047597778756, 0.40266128924202804]",Lasso Regression,0.7898491595508446,0.40266128924202804,0.6238616948431756,0.48308954923913705,na,na,na
30,des_city_encoded,"[0.39353047597778756, 0.40266128924202804]",Lasso Regression,0.7898491595508446,0.40266128924202804,0.6238616948431756,0.48308954923913705,na,na,na
31,des_country_encoded,"[0.39353047597778756, 0.40266128924202804]",Lasso Regression,0.7898491595508446,0.40266128924202804,0.6238616948431756,0.48308954923913705,na,na,na
32,room_type_encoded,"[0.39353047597778756, 0.40266128924202804]",Lasso Regression,0.7898491595508446,0.40266128924202804,0.6238616948431756,0.48308954923913705,na,na,na
